Goethe-Zertifikat | Reason: possible_proper_noun | Context: Training zur Prüfung Goethe-Zertifikat Spiros Koukidis Jorina...
Konflikte | Reason: possible_proper_noun | Context: Konfliktlösungskompetenz nimmt man Konflikte bereits bei den...
Unerwartete | Reason: possible_proper_noun | Context: und lösungsorientiert bearbeiten Unerwartete Herausforde rungen die...
Herausforde | Reason: possible_proper_noun | Context: lösungsorientiert bearbeiten Unerwartete Herausforde rungen die häufig...
Konflikten | Reason: possible_proper_noun | Context: die häufig zu Konflikten führen sind nämlich...
Seltenheit | Reason: possible_proper_noun | Context: sind nämlich keine Seltenheit Um auch in...
Ausnahmesi | Reason: possible_proper_noun | Context: auch in solchen Ausnahmesi tuationen handlungsfähig zu...
Konflikte | Reason: possible_proper_noun | Context: Konfliktlösungskompetenz nimmt man Konflikte bereits bei den...
Konfliktkompetenz | Reason: possible_proper_noun | Context: und die eigene Konfliktkompetenz zu stärken In...
Erstes | Reason: possible_proper_noun | Context: man sich als Erstes klar zu welchem...
Konflikttyp | Reason: possible_proper_noun | Context: klar zu welchem Konflikttyp Praxis Spezialverlag DaF...
Spezialverlag | Reason: possible_proper_noun | Context: Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF | Reason: possible_proper_noun | Context: Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
Transkriptionen | Reason: possible_proper_noun | Context: Liaropoulou Georgina Lymperopoulou Transkriptionen ohne Lösungen Praxis...
Stressmuster | Reason: possible_proper_noun | Context: und in welches Stressmuster man in Krisensituationen...
Krisensituationen | Reason: possible_proper_noun | Context: Stressmuster man in Krisensituationen fällt Durch das...
Auftreten | Reason: possible_proper_noun | Context: somit ein sicheres Auftreten in wichtigen Geschäftssituationen...
Vorgesetzten | Reason: possible_proper_noun | Context: erwarten von ihren Vorgesetzten motiviert zu werden...
Kollegen | Reason: possible_proper_noun | Context: auf mit Vorgesetzten Kollegen Kunden und Ge...
Kunden | Reason: possible_proper_noun | Context: zum Besseren verändern Kunden zufriedenstellen Patienten gesund...
Berufsalltags | Reason: possible_proper_noun | Context: wichtige Gesprächssituationen seines Berufsalltags systematisch vorzubereiten un...
Ende | Reason: possible_proper_noun | Context: Ring also am Ende im Jahr wird...
Sendung | Reason: possible_proper_noun | Context: am Ende unserer Sendung angelangt Auf Wiederhören...
Ausgabe | Reason: possible_proper_noun | Context: willkommen zur neuen Ausgabe unseres Podcasts Die...
Thema | Reason: possible_proper_noun | Context: ist immer wieder Thema Das Drama war...
HÖRTEXT | Reason: abbreviation | Context: Test Teil S HÖRTEXT Liebe Hörerinnen und...
Moderatorin | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderatorin Herzlich willkommen zu...
Herzlich | Reason: possible_proper_noun | Context: S HÖRTEXT Moderatorin Herzlich willkommen zu unserer...
Ausgabe | Reason: possible_proper_noun | Context: willkommen zur neuen Ausgabe unseres Podcasts Die...
Technik | Reason: possible_proper_noun | Context: Titel Mithilfe modernster Technik und mit atemberaubenden...
Thema | Reason: possible_proper_noun | Context: ist immer wieder Thema Das Drama war...
Kenza | Reason: possible_proper_noun | Context: wir die Robotik-Expertin Kenza Ait Si Abbou...
Ait | Reason: possible_proper_noun | Context: die Robotik-Expertin Kenza Ait Si Abbou eingeladen...
Abbou | Reason: possible_proper_noun | Context: Kenza Ait Si Abbou eingeladen Kenza Ait...
Kenza | Reason: possible_proper_noun | Context: wir die Robotik-Expertin Kenza Ait Si Abbou...
Ait | Reason: possible_proper_noun | Context: die Robotik-Expertin Kenza Ait Si Abbou eingeladen...
Abbou | Reason: possible_proper_noun | Context: Kenza Ait Si Abbou eingeladen Kenza Ait...
Moderatorin | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderatorin Herzlich willkommen zu...
Ait | Reason: possible_proper_noun | Context: die Robotik-Expertin Kenza Ait Si Abbou eingeladen...
Abbou | Reason: possible_proper_noun | Context: Kenza Ait Si Abbou eingeladen Kenza Ait...
Maschinen | Reason: possible_proper_noun | Context: die Fähigkeit von Maschinen die Emotionen von...
Maschinen | Reason: possible_proper_noun | Context: die Fähigkeit von Maschinen die Emotionen von...
Moderatorin | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderatorin Herzlich willkommen zu...
Ait | Reason: possible_proper_noun | Context: die Robotik-Expertin Kenza Ait Si Abbou eingeladen...
Abbou | Reason: possible_proper_noun | Context: Kenza Ait Si Abbou eingeladen Kenza Ait...
Emo | Reason: possible_proper_noun | Context: Begriffe Gefühle und Emo tionen die umgangssprachlich...
Synonyme | Reason: possible_proper_noun | Context: fälschlicherweise oft als Synonyme verwendet wer den...
Komponen | Reason: possible_proper_noun | Context: einer Veränderung verschiedener Komponen ten einhergehen Neben...
Erlebniskomponente | Reason: possible_proper_noun | Context: Neben der subjektiven Erlebniskomponente dem Gefühl treten...
Reaktionen | Reason: possible_proper_noun | Context: meisten der unterschiedlichen Reaktionen die ich vorhin...
Moderatorin | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderatorin Herzlich willkommen zu...
Maschinen | Reason: possible_proper_noun | Context: die Fähigkeit von Maschinen die Emotionen von...
Ait | Reason: possible_proper_noun | Context: die Robotik-Expertin Kenza Ait Si Abbou eingeladen...
Abbou | Reason: possible_proper_noun | Context: Kenza Ait Si Abbou eingeladen Kenza Ait...
Maschinen | Reason: possible_proper_noun | Context: die Fähigkeit von Maschinen die Emotionen von...
Inhalte | Reason: possible_proper_noun | Context: Maschinen können emotionale Inhalte erkennen interpretieren und...
Maschinen | Reason: possible_proper_noun | Context: die Fähigkeit von Maschinen die Emotionen von...
Messmethoden | Reason: possible_proper_noun | Context: wenn sie verschiedene Messmethoden kombinieren Wenn ich...
Gesichtsausdruck | Reason: possible_proper_noun | Context: kann ich meinen Gesichtsausdruck kontrollieren Dann fällt...
Sensoren | Reason: possible_proper_noun | Context: der mithilfe von Sensoren gleichzeitig meine Herzfrequenz...
Moderatorin | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderatorin Herzlich willkommen zu...
Roboter | Reason: possible_proper_noun | Context: gerätselt ob auch Roboter so etwas wie...
Ait | Reason: possible_proper_noun | Context: die Robotik-Expertin Kenza Ait Si Abbou eingeladen...
Abbou | Reason: possible_proper_noun | Context: Kenza Ait Si Abbou eingeladen Kenza Ait...
Organismus | Reason: possible_proper_noun | Context: es einen lebenden Organismus Je besser ein...
Durst | Reason: possible_proper_noun | Context: Gefühle die Hunger Durst oder Fortpflanzung betreffen...
Leere | Reason: possible_proper_noun | Context: Überlebenschancen Wenn ich Leere im Magen spüre...
Nahrung | Reason: possible_proper_noun | Context: wie ein Körper Nahrung aufnimmt und verarbeitet...
Roboter | Reason: possible_proper_noun | Context: gerätselt ob auch Roboter so etwas wie...
Organismus | Reason: possible_proper_noun | Context: es einen lebenden Organismus Je besser ein...
FaD | Reason: possible_proper_noun | Context: von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Transkriptionen | Reason: possible_proper_noun | Context: Liaropoulou Georgina Lymperopoulou Transkriptionen ohne Lösungen Praxis...
Lebenserhalt | Reason: possible_proper_noun | Context: demnach auch keinen Lebenserhalt anstreben Für ihn...
Strom | Reason: possible_proper_noun | Context: Für ihn sind Strom und ein Betriebssystem...
Moderatorin | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderatorin Herzlich willkommen zu...
Maschinen | Reason: possible_proper_noun | Context: die Fähigkeit von Maschinen die Emotionen von...
Ait | Reason: possible_proper_noun | Context: die Robotik-Expertin Kenza Ait Si Abbou eingeladen...
Abbou | Reason: possible_proper_noun | Context: Kenza Ait Si Abbou eingeladen Kenza Ait...
Programmen | Reason: possible_proper_noun | Context: Si Abbou Mit Programmen wie ChatGPT kann...
ChatGPT | Reason: possible_proper_noun | Context: Mit Programmen wie ChatGPT kann man Dialoge...
Dialoge | Reason: possible_proper_noun | Context: ChatGPT kann man Dialoge führen die sich...
Texte | Reason: possible_proper_noun | Context: ein Computer solche Texte produziert Daraus entsteht...
Neurowis | Reason: possible_proper_noun | Context: heute beschäftigen sich Neurowis senschaftler innen mit...
Programmierer | Reason: possible_proper_noun | Context: Lage sind werden Programmierer innen es nicht...
Moderatorin | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderatorin Herzlich willkommen zu...
Ait | Reason: possible_proper_noun | Context: die Robotik-Expertin Kenza Ait Si Abbou eingeladen...
Abbou | Reason: possible_proper_noun | Context: Kenza Ait Si Abbou eingeladen Kenza Ait...
Potenzial | Reason: possible_proper_noun | Context: von Fernsehnachrichten viel Potenzial zum Wachsen und...
Technologien | Reason: possible_proper_noun | Context: Subventionen für klimaschädliche Technologien einstellen dafür aber...
Chancen | Reason: possible_proper_noun | Context: die damit verbundenen Chancen und Risiken kennen...
Risiken | Reason: possible_proper_noun | Context: verbundenen Chancen und Risiken kennen Moderatorin Besteht...
Moderatorin | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderatorin Herzlich willkommen zu...
Ait | Reason: possible_proper_noun | Context: die Robotik-Expertin Kenza Ait Si Abbou eingeladen...
Abbou | Reason: possible_proper_noun | Context: Kenza Ait Si Abbou eingeladen Kenza Ait...
Ethik | Reason: possible_proper_noun | Context: Ait Si Abbou Ethik und Moral sind...
Vorstellungen | Reason: possible_proper_noun | Context: Übereinstimmung mit moralischen Vorstellungen urteilen kann müsste...
Standardmoral | Reason: possible_proper_noun | Context: ei ne allgemeingültige Standardmoral entwickeln und in...
Regeln | Reason: possible_proper_noun | Context: heute beschreiben welche Regeln für die Produktwerbung...
Moderatorin | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderatorin Herzlich willkommen zu...
Anwendungsbe | Reason: possible_proper_noun | Context: ein paar konkrete Anwendungsbe reiche nennen Ait...
Ait | Reason: possible_proper_noun | Context: die Robotik-Expertin Kenza Ait Si Abbou eingeladen...
Abbou | Reason: possible_proper_noun | Context: Kenza Ait Si Abbou eingeladen Kenza Ait...
Kundenservice | Reason: possible_proper_noun | Context: Si Abbou Im Kundenservice ist es z...
Autos | Reason: possible_proper_noun | Context: zu reagieren In Autos können digitale Assistenten...
Assistenten | Reason: possible_proper_noun | Context: Autos können digitale Assistenten anhand der Mimik...
Pflegebereich | Reason: possible_proper_noun | Context: ist Auch im Pflegebereich können Roboter mit...
Roboter | Reason: possible_proper_noun | Context: gerätselt ob auch Roboter so etwas wie...
Studien | Reason: possible_proper_noun | Context: hochgestochen zwanglos soziologische Studien Pl der Soziologe...
Patienten | Reason: possible_proper_noun | Context: verändern Kunden zufriedenstellen Patienten gesund ma chen...
Erlebnis | Reason: possible_proper_noun | Context: es ein angenehmeres Erlebnis mit einem Roboter...
Roboter | Reason: possible_proper_noun | Context: gerätselt ob auch Roboter so etwas wie...
Karten | Reason: possible_proper_noun | Context: mit einem Roboter Karten zu spielen als...
Spielpartner | Reason: possible_proper_noun | Context: gar kei nen Spielpartner zu haben Moderatorin...
Moderatorin | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderatorin Herzlich willkommen zu...
Frau | Reason: possible_proper_noun | Context: zu einer jungen Frau entwickelt verschmilzt sie...
Ait | Reason: possible_proper_noun | Context: die Robotik-Expertin Kenza Ait Si Abbou eingeladen...
Abbou | Reason: possible_proper_noun | Context: Kenza Ait Si Abbou eingeladen Kenza Ait...
HÖRTEXT | Reason: abbreviation | Context: Test Teil S HÖRTEXT Liebe Hörerinnen und...
Moderator | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderator Guten Abend liebe...
Thema | Reason: possible_proper_noun | Context: ist immer wieder Thema Das Drama war...
Unterrichtsreform | Reason: possible_proper_noun | Context: was die vieldiskutierte Unterrichtsreform an unseren Schulen...
Schulen | Reason: possible_proper_noun | Context: und Geschichtsunterrichts an Schulen zu werden wo...
Studio | Reason: possible_proper_noun | Context: begrüße ich im Studio Herrn Reinhard K...
Frau | Reason: possible_proper_noun | Context: zu einer jungen Frau entwickelt verschmilzt sie...
Evelyn | Reason: possible_proper_noun | Context: sind Frau Dr Evelyn Herold Leiterin der...
Herold | Reason: possible_proper_noun | Context: Frau Dr Evelyn Herold Leiterin der Päda...
Leiterin | Reason: possible_proper_noun | Context: Schmidt Zukunftsforscherin und Leiterin des Instituts für...
Hochschule | Reason: possible_proper_noun | Context: der Päda gogischen Hochschule in Freiburg und...
Freiburg | Reason: possible_proper_noun | Context: gogischen Hochschule in Freiburg und Herr Eduard...
Herr | Reason: possible_proper_noun | Context: Autor und Philosoph Herr Sprenger Guten Tag...
Eduard | Reason: possible_proper_noun | Context: Freiburg und Herr Eduard Kessler Studienrat am...
Kessler | Reason: possible_proper_noun | Context: und Herr Eduard Kessler Studienrat am Albert...
Studienrat | Reason: possible_proper_noun | Context: Herr Eduard Kessler Studienrat am Albert Einstein...
Albert | Reason: possible_proper_noun | Context: Kessler Studienrat am Albert Einstein Gymnasium in...
Einstein | Reason: possible_proper_noun | Context: Studienrat am Albert Einstein Gymnasium in Ravensburg...
Gymnasium | Reason: possible_proper_noun | Context: am Albert Einstein Gymnasium in Ravensburg Beide...
Ravensburg | Reason: possible_proper_noun | Context: Einstein Gymnasium in Ravensburg Beide Gäste Hallo...
Spezialverlag | Reason: possible_proper_noun | Context: Lehrbuch Werkstatt Praxis Spezialverlag DaF Werkstatt Test...
DaF | Reason: possible_proper_noun | Context: Werkstatt Praxis Spezialverlag DaF Werkstatt Test Lesen...
Transkriptionen | Reason: possible_proper_noun | Context: Liaropoulou Georgina Lymperopoulou Transkriptionen ohne Lösungen Praxis...
Moderator | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderator Guten Abend liebe...
Frau | Reason: possible_proper_noun | Context: zu einer jungen Frau entwickelt verschmilzt sie...
Herold | Reason: possible_proper_noun | Context: Frau Dr Evelyn Herold Leiterin der Päda...
Sache | Reason: possible_proper_noun | Context: These n einer Sache Ausdruck verleihen partizipatorisch...
Bezug | Reason: possible_proper_noun | Context: e betreffen in Bezug auf AKK der...
Unterrichtsplanung | Reason: possible_proper_noun | Context: in Bezug auf Unterrichtsplanung und ablauf betrachten...
Frau | Reason: possible_proper_noun | Context: zu einer jungen Frau entwickelt verschmilzt sie...
Herold | Reason: possible_proper_noun | Context: Frau Dr Evelyn Herold Leiterin der Päda...
Anforderungen | Reason: possible_proper_noun | Context: vom Anspruch allen Anforderungen an moderne Mutterschaft...
Wis | Reason: possible_proper_noun | Context: noch um reine Wis sensvermittlung geht kommen...
Kompetenzen | Reason: possible_proper_noun | Context: geht kommen solche Kompetenzen zu kurz Entscheidend...
Lernstrategien | Reason: possible_proper_noun | Context: die Vermittlung von Lernstrategien Arbeitsmethoden und Techniken...
Arbeitsmethoden | Reason: possible_proper_noun | Context: Vermittlung von Lernstrategien Arbeitsmethoden und Techniken Damit...
Techniken | Reason: possible_proper_noun | Context: Lernstrategien Arbeitsmethoden und Techniken Damit muss eine...
Lebensweltorientierung | Reason: possible_proper_noun | Context: muss eine stärkere Lebensweltorientierung und Persönlichkeitsentwicklung der...
Moderator | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderator Guten Abend liebe...
Herr | Reason: possible_proper_noun | Context: Autor und Philosoph Herr Sprenger Guten Tag...
Kessler | Reason: possible_proper_noun | Context: und Herr Eduard Kessler Studienrat am Albert...
Lernende | Reason: possible_proper_noun | Context: dieser Wandel für Lernende und Lehrende Herr...
Lehrende | Reason: possible_proper_noun | Context: für Lernende und Lehrende Herr Kessler Kernelemente...
Herr | Reason: possible_proper_noun | Context: Autor und Philosoph Herr Sprenger Guten Tag...
Kessler | Reason: possible_proper_noun | Context: und Herr Eduard Kessler Studienrat am Albert...
Kernelemente | Reason: possible_proper_noun | Context: Lehrende Herr Kessler Kernelemente der neuen Unterrichtskultur...
Unterrichtskultur | Reason: possible_proper_noun | Context: Kernelemente der neuen Unterrichtskultur sollten selbstständiges lebensnahes...
Unterrichtsformen | Reason: possible_proper_noun | Context: mit offenen handlungsorientierten Unterrichtsformen Dies geht nun...
Fron | Reason: possible_proper_noun | Context: einher Weg vom Fron talunterricht hin zur...
Lernumgebungen | Reason: possible_proper_noun | Context: zur Gestaltung von Lernumgebungen wo Lernende selbstgesteuert...
Lernende | Reason: possible_proper_noun | Context: dieser Wandel für Lernende und Lehrende Herr...
Kompetenzen | Reason: possible_proper_noun | Context: geht kommen solche Kompetenzen zu kurz Entscheidend...
Moderator | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderator Guten Abend liebe...
Herr | Reason: possible_proper_noun | Context: Autor und Philosoph Herr Sprenger Guten Tag...
Kessler | Reason: possible_proper_noun | Context: und Herr Eduard Kessler Studienrat am Albert...
Offener | Reason: possible_proper_noun | Context: erklären Herr Kessler Offener Unterricht bedeutet das...
Unterricht | Reason: possible_proper_noun | Context: Herr Kessler Offener Unterricht bedeutet das freie...
Aufgaben | Reason: possible_proper_noun | Context: ihre wesentlichen zukünftigen Aufgaben sein werden nach...
Arbeitsformen | Reason: possible_proper_noun | Context: Entscheidung für bestimmte Arbeitsformen durch die Lernenden...
Freiheitsspielraum | Reason: possible_proper_noun | Context: dass Schüler diesen Freiheitsspielraum nicht für etwas...
Unterricht | Reason: possible_proper_noun | Context: Herr Kessler Offener Unterricht bedeutet das freie...
Unterricht | Reason: possible_proper_noun | Context: Herr Kessler Offener Unterricht bedeutet das freie...
Unterricht | Reason: possible_proper_noun | Context: Herr Kessler Offener Unterricht bedeutet das freie...
Lehrende | Reason: possible_proper_noun | Context: für Lernende und Lehrende Herr Kessler Kernelemente...
Lernende | Reason: possible_proper_noun | Context: dieser Wandel für Lernende und Lehrende Herr...
Moderator | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderator Guten Abend liebe...
Frau | Reason: possible_proper_noun | Context: zu einer jungen Frau entwickelt verschmilzt sie...
Herold | Reason: possible_proper_noun | Context: Frau Dr Evelyn Herold Leiterin der Päda...
Unterricht | Reason: possible_proper_noun | Context: Herr Kessler Offener Unterricht bedeutet das freie...
Synonym | Reason: possible_proper_noun | Context: offener Unterricht nicht Synonym für wahlloses Lernen...
Frau | Reason: possible_proper_noun | Context: zu einer jungen Frau entwickelt verschmilzt sie...
Herold | Reason: possible_proper_noun | Context: Frau Dr Evelyn Herold Leiterin der Päda...
Begleiter | Reason: possible_proper_noun | Context: die Lehrperson als Begleiter agieren und die...
Richtung | Reason: possible_proper_noun | Context: das in dieselbe Richtung Herr Sprenger Es...
Gesellschaft | Reason: possible_proper_noun | Context: einer unterprivilegier ten Gesellschaft schlicht dazu bringt...
Anforderungen | Reason: possible_proper_noun | Context: vom Anspruch allen Anforderungen an moderne Mutterschaft...
Kindern | Reason: possible_proper_noun | Context: Rassismus Vernachlässigung von Kindern psychische und häusliche...
Erwartungen | Reason: possible_proper_noun | Context: dass infolge gesellschaftlicher Erwartungen Frauen und Mädchen...
Moderator | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderator Guten Abend liebe...
Frau | Reason: possible_proper_noun | Context: zu einer jungen Frau entwickelt verschmilzt sie...
Herold | Reason: possible_proper_noun | Context: Frau Dr Evelyn Herold Leiterin der Päda...
Lehrerrolle | Reason: possible_proper_noun | Context: der neuen veränderten Lehrerrolle stehen traditionelles Anleiten...
Anleiten | Reason: possible_proper_noun | Context: Lehrerrolle stehen traditionelles Anleiten und Führen gleich...
Beraten | Reason: possible_proper_noun | Context: berechtigt neben zurückhaltendem Beraten Helfen Ermutigen und...
Ermutigen | Reason: possible_proper_noun | Context: zurückhaltendem Beraten Helfen Ermutigen und Unterstützen Lernen...
Lasst | Reason: possible_proper_noun | Context: des Konstruktivismus fordert Lasst Lernende selbst zur...
Lernende | Reason: possible_proper_noun | Context: dieser Wandel für Lernende und Lehrende Herr...
Moderator | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderator Guten Abend liebe...
Unterrichtsmodell | Reason: possible_proper_noun | Context: in diesem neuen Unterrichtsmodell Herr Kessler auf...
Herr | Reason: possible_proper_noun | Context: Autor und Philosoph Herr Sprenger Guten Tag...
Kessler | Reason: possible_proper_noun | Context: und Herr Eduard Kessler Studienrat am Albert...
Anleitung | Reason: possible_proper_noun | Context: wo man unter Anleitung Rollenspiele machen muss...
Herr | Reason: possible_proper_noun | Context: Autor und Philosoph Herr Sprenger Guten Tag...
Kessler | Reason: possible_proper_noun | Context: und Herr Eduard Kessler Studienrat am Albert...
Bezug | Reason: possible_proper_noun | Context: e betreffen in Bezug auf AKK der...
Alltagswelt | Reason: possible_proper_noun | Context: klarer Bezug zur Alltagswelt hergestellt werden Für...
FaD | Reason: possible_proper_noun | Context: von Georgina Lymperopoulou FaD galrevlaizepS sixarP Werkstatt...
Transkriptionen | Reason: possible_proper_noun | Context: Liaropoulou Georgina Lymperopoulou Transkriptionen ohne Lösungen Praxis...
Probleme | Reason: possible_proper_noun | Context: Amerika und seine Probleme besser verstehen möchte...
Schulwissens | Reason: possible_proper_noun | Context: sie dank ihres Schulwissens etwas bewir ken...
Moderator | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderator Guten Abend liebe...
Kindern | Reason: possible_proper_noun | Context: Rassismus Vernachlässigung von Kindern psychische und häusliche...
Jugendlichen | Reason: possible_proper_noun | Context: schwierigen Kindern und Jugendlichen nörgelnden Eltern fehlender...
Eltern | Reason: possible_proper_noun | Context: sind ohne ihre Eltern auf sich allein...
Anstrengungen | Reason: possible_proper_noun | Context: wird von starken Anstrengungen geprägt Mütter tun...
Unterricht | Reason: possible_proper_noun | Context: Herr Kessler Offener Unterricht bedeutet das freie...
Schulverwaltung | Reason: possible_proper_noun | Context: Unterricht und bürokratischer Schulverwaltung kämpfen Was sagen...
Frau | Reason: possible_proper_noun | Context: zu einer jungen Frau entwickelt verschmilzt sie...
Herold | Reason: possible_proper_noun | Context: Frau Dr Evelyn Herold Leiterin der Päda...
Frau | Reason: possible_proper_noun | Context: zu einer jungen Frau entwickelt verschmilzt sie...
Herold | Reason: possible_proper_noun | Context: Frau Dr Evelyn Herold Leiterin der Päda...
Studie | Reason: possible_proper_noun | Context: Ein Junge unserer Studie der ein Jahr...
Lernende | Reason: possible_proper_noun | Context: dieser Wandel für Lernende und Lehrende Herr...
Kompetenz | Reason: possible_proper_noun | Context: auf die diagnostische Kompetenz der Lehrkraft das...
Interessantheit | Reason: possible_proper_noun | Context: sowie auf Klarheit Interessantheit und Motivierungs qualität...
Motivierungs | Reason: possible_proper_noun | Context: Klarheit Interessantheit und Motivierungs qualität des Unterrichts...
Lehrerinnen | Reason: possible_proper_noun | Context: zu glauben dass Lehrerinnen und Lehrer besonders...
Kinder | Reason: possible_proper_noun | Context: einzuimpfen Die se Kinder hören nie Das...
Herr | Reason: possible_proper_noun | Context: Autor und Philosoph Herr Sprenger Guten Tag...
Kessler | Reason: possible_proper_noun | Context: und Herr Eduard Kessler Studienrat am Albert...
Frau | Reason: possible_proper_noun | Context: zu einer jungen Frau entwickelt verschmilzt sie...
Herold | Reason: possible_proper_noun | Context: Frau Dr Evelyn Herold Leiterin der Päda...
Ermahnungen | Reason: possible_proper_noun | Context: und sich auf Ermahnungen zu beschränken geschweige...
Zuge | Reason: possible_proper_noun | Context: Macht ergreifen im Zuge GEN die industrielle...
Erziehung | Reason: possible_proper_noun | Context: besser keine zweisprachige Erziehung mehr anstreben Meisel...
Freiheit | Reason: possible_proper_noun | Context: Option mehr ihre Freiheit bezieht sich im...
Lehrende | Reason: possible_proper_noun | Context: für Lernende und Lehrende Herr Kessler Kernelemente...
Unterricht | Reason: possible_proper_noun | Context: Herr Kessler Offener Unterricht bedeutet das freie...
Kinder | Reason: possible_proper_noun | Context: einzuimpfen Die se Kinder hören nie Das...
Moderator | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Moderator Guten Abend liebe...
Frau | Reason: possible_proper_noun | Context: zu einer jungen Frau entwickelt verschmilzt sie...
Herold | Reason: possible_proper_noun | Context: Frau Dr Evelyn Herold Leiterin der Päda...
Herr | Reason: possible_proper_noun | Context: Autor und Philosoph Herr Sprenger Guten Tag...
Kessler | Reason: possible_proper_noun | Context: und Herr Eduard Kessler Studienrat am Albert...
Sendung | Reason: possible_proper_noun | Context: am Ende unserer Sendung angelangt Auf Wiederhören...
HÖRTEXT | Reason: abbreviation | Context: Test Teil S HÖRTEXT Liebe Hörerinnen und...
Liebes | Reason: possible_proper_noun | Context: Teil S HÖRTEXT Liebes Publikum herzlich willkommen...
Vortrag | Reason: possible_proper_noun | Context: willkommen zu meinem Vortrag Im Mittelpunkt meiner...
Personen | Reason: possible_proper_noun | Context: DaF Werkstatt Transkriptionen Personen vorgestellt auf deren...
Personen | Reason: possible_proper_noun | Context: DaF Werkstatt Transkriptionen Personen vorgestellt auf deren...
Gesellschaft | Reason: possible_proper_noun | Context: einer unterprivilegier ten Gesellschaft schlicht dazu bringt...
Personen | Reason: possible_proper_noun | Context: DaF Werkstatt Transkriptionen Personen vorgestellt auf deren...
Wissenschaft | Reason: possible_proper_noun | Context: zu unserer Sendung Wissenschaft am Nachmittag Heute...
Politik | Reason: possible_proper_noun | Context: es Fürsorgliche Belagerung Politik und Unternehmen dringen...
Marginalisierung | Reason: possible_proper_noun | Context: auch die jahrhundertelange Marginalisierung von Frauen in...
Frauen | Reason: possible_proper_noun | Context: Rechtsprechung die ausgebeutete Frauen einer unterprivilegier ten...
Bereichen | Reason: possible_proper_noun | Context: Epo chen und Bereichen ausgestellt deren Funktion...
Thema | Reason: possible_proper_noun | Context: ist immer wieder Thema Das Drama war...
Geschlechtergerechtigkeit | Reason: possible_proper_noun | Context: wenn das Thema Geschlechtergerechtigkeit immer mehr in...
Fokus | Reason: possible_proper_noun | Context: andere Hauptperson im Fokus und dabei handelt...
Frauen | Reason: possible_proper_noun | Context: Rechtsprechung die ausgebeutete Frauen einer unterprivilegier ten...
Stadtzentrum | Reason: possible_proper_noun | Context: erster Tipp Im Stadtzentrum unweit des Fernsehturms...
Sichtbarkeit | Reason: possible_proper_noun | Context: zu einer geringeren Sichtbarkeit führt Das Thema...
Thema | Reason: possible_proper_noun | Context: ist immer wieder Thema Das Drama war...
Sichtbarkeit | Reason: possible_proper_noun | Context: zu einer geringeren Sichtbarkeit führt Das Thema...
Forschung | Reason: possible_proper_noun | Context: Im Rahmen meiner Forschung im Bereich der...
Wissenschaft | Reason: possible_proper_noun | Context: zu unserer Sendung Wissenschaft am Nachmittag Heute...
Entdeckungen | Reason: possible_proper_noun | Context: unglaublichen Ideen und Entdeckungen genialer Denker die...
Frauen | Reason: possible_proper_noun | Context: Rechtsprechung die ausgebeutete Frauen einer unterprivilegier ten...
Kind | Reason: possible_proper_noun | Context: Heimstatt die Diversität Kind und Kegel der...
Pythagoras | Reason: possible_proper_noun | Context: Während jedem Kind Pythagoras ein Begriff sein...
Frau | Reason: possible_proper_noun | Context: zu einer jungen Frau entwickelt verschmilzt sie...
Theano | Reason: possible_proper_noun | Context: ist seine Frau Theano die an seiner...
Jahre | Reason: possible_proper_noun | Context: Entwicklung die gegen Jahre emanzipatorische Frauenbewegung geht...
Mileva | Reason: possible_proper_noun | Context: zweitausend Jahre später Mileva Einstein die im...
Einstein | Reason: possible_proper_noun | Context: Studienrat am Albert Einstein Gymnasium in Ravensburg...
Schatten | Reason: possible_proper_noun | Context: Einstein die im Schatten ihres weltberühmten Mannes...
Albert | Reason: possible_proper_noun | Context: Kessler Studienrat am Albert Einstein Gymnasium in...
Einstein | Reason: possible_proper_noun | Context: Studienrat am Albert Einstein Gymnasium in Ravensburg...
Genie | Reason: possible_proper_noun | Context: gilt heute als Genie Und Otto Hahn...
Otto | Reason: possible_proper_noun | Context: als Genie Und Otto Hahn hat für...
Hahn | Reason: possible_proper_noun | Context: Genie Und Otto Hahn hat für seine...
